rai_cityadjusted_total_2019_q3, geography_name, unique_id, rai_cityadjusted_total_2019_q2, rai_cityadjusted_total_2019_q1, rai_cityadjusted_total_2020_q1, rai_cityadjusted_total_2019_q4, rai_cityadjusted_total_2020_q3, state, rai_cityadjusted_total_2020_q2, rai_cityadjusted_total_2021_q2, rai_cityadjusted_total_2020_q4, rai_cityadjusted_total_2021_q1, city
116.7582,"4117",523,115.3846,null,133.3804,130.7886,145.5071,"QLD",135.3383,129.8077,138.5935,144.3535,"Greater Brisbane"
118.4504,"4116",522,115.8325,116.2021,122.8434,123.6877,122.6916,"QLD",123.6577,118.8839,120.9191,117.7806,"Greater Brisbane"
122.9921,"4120",526,133.1542,119.2752,123.1744,128.6951,131.5468,"QLD",137.1761,123.0283,131.9365,122.4278,"Greater Brisbane"
118.1138,"4178",559,114.448,115.2963,117.2308,119.2887,121.7634,"QLD",119.3133,108.6257,115.1988,117.818,"Greater Brisbane"
134.394,"4118",524,132.9121,133.4098,141.6459,144.2389,144.9193,"QLD",149.339,137.1724,142.408,175.4488,"Greater Brisbane"
113.057,"4119",525,120.89,116.0841,114.2308,125.2731,129.5244,"QLD",128.3852,118.9201,128.0155,119.3634,"Greater Brisbane"
null,"4230",586,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
111.3367,"4121",527,110.6346,109.6159,113.2434,118.6089,122.8615,"QLD",119.4054,107.274,109.8955,111.3679,"Greater Brisbane"
136.9646,"4125",531,134.5842,135.1454,141.2224,145.0429,142.6931,"QLD",143.0108,139.208,142.2636,106.6876,"Greater Brisbane"
77.73279,"4270",587,null,null,null,null,null,"QLD",null,null,null,null,"Rest of Qld"
107.1429,"5171",1010,98.68421,96.77419,105.5807,107.1429,106.2753,"SA",110.6428,100.9615,112.1795,106.2753,"Greater Adelaide"
115.4632,"4122",528,117.1603,112.4936,115.2084,121.8778,124.8301,"QLD",123.1871,117.5304,119.5169,116.0327,"Greater Brisbane"
102.523,"4123",529,108.9744,108.2015,103.6734,112.5268,109.9448,"QLD",116.3061,99.86021,108.3446,140.7588,"Greater Brisbane"
132.2366,"4124",530,130.0823,132.8265,138.6821,136.7703,140.5993,"QLD",139.0713,126.4238,137.502,119.7796,"Greater Brisbane"
134.2105,"4127",532,148.7196,126.8651,141.8758,141.8726,145.4396,"QLD",144.4175,129.5598,136.7788,135.2327,"Greater Brisbane"
118.0657,"4128",533,122.0647,120.1355,128.3749,132.1478,125.0344,"QLD",132.9255,122.5381,113.7933,140.6963,"Greater Brisbane"
